ERA,COVER,Title & Description,,,,,,,,,,,,,,,,CREATOR(S),Length & track no.,LINK(S) [W.I.P],Extras
,,"Will explain what makes a comp different from release, and what has been added or changed.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Type of comp: Remaster, Vanilla, overhaul, renovation, extension, remix, shitpost, and playlist.",,,,,,,,,,,,,,,,,,,,,
"Era refers to an album, or period of time that the comp is based on or taking place during. ","A comps cover will be displayed in this column. If there is no custom cover, a default cover will be used.","Dry descriptions that act as a guide. Quality can, and will vary without disclosure here. Playlists are denoted as such, typically put together by one individual using others edits with personal touches applied at the discretion of the playlist maker, credits are included when applicable here. Due to the nature of the yedits archive, listings may be updated as new information is uncovered or presented. If you see something you believe is incorrect, let me know and I will try to verify this information before updating it. This archive ideally will be shared physically, and digitally without fear of a DMCA takedown notice being filed someday. If you find this document in an incomplete or incorrect state, you may have an outdated copy, or the work on the archive and/or document here has been abandoned. I hope this spreadsheet is helpful in navigating the archive. Special credit to Sophie for allowing me to borrow color coding from her curated tracker, and some terminology. Thanks to Aiwei for touching up the sheet further. -  100greenmen",,,,,,,,,,,,,,,,Multiple individuals may be listed when applicable,"Length of the full comp, not counting bonus tracks","Links to comps will be dropped here, samply links provided by Koji.",Any supplementary material a comp might come with
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,The Go-Getters,,,,,,,,,,,,,,,,,,,
,,"Kanye West would begin work in the music industry producing beats, and recording with a Chicago based rap group featuring GLC, Timmy G, and Arrowstar while trying to find his sound. Although Kanye's signature sample chopping is present for many of these tracks that were released on mixtapes or leaked, he would later state he was disatisfied with his persona for his verses, and would course correct to a more authentic one going forward.  The era currently only has one comp but future comps would need to be based on the tracks produced with the Go-Getters to fit into this slot. ",,,,,,,,,,,,,,,,,,,
,,"The instrumentals for this album have been re-created and given more layers of synths and bass, some vocals and orchestral instrumentals taken from Live at Hollywood Bowl.  - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Vanilla,,,,,,,,,,,,,,,,,,,
808s & Heartbreak,,808's but mumble,,,,,,,,,,,,,,,,Simplejosh,34 minutes. 8 tracks.,SAMPLY,N/A
,,This comp reduces the tracklist and uses leaked tracks with a rougher vocal delivery and lighter autotune. Also adds some additional production and references making for a very different sound while remaining faithful to the work Kanye did on the album. - 100greenmen,,,,,,,,,,,,,,,,,,,
,,"Vanilla, Extension",,,,,,,,,,,,,,,,,,,
808s & Heartbreak,,808s & Heartbreak,,,,,,,,,,,,,,,,Whoop,"1 hour, 14 minutes. 12 tracks.",SAMPLY,N/A
,,"New production is added, scrapped/alt features are added alongside kanye's regular verses.  - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Vanilla,,,,,,,,,,,,,,,,,,,
808s & Heartbreak,,808's & Heartbreak Reimagined															,,,,,,,,,,,,,,,,Mochi&Broccoli,59 minutes. 13 tracks.,SAMPLY,N/A
,,"Adds a bit of new production to some songs while others have new synths entirely, adds in new features alongside a re-ordered tracklist. Also contains Find Your Love by Drake with an added Kanye feature.  - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Renovation,,,,,,,,,,,,,,,,,,,
808s & Heartbreak,,808's & Heartbreak Rework,,,,,,,,,,,,,,,,Akimbo,50 minutes. 12 tracks.,SAMPLY,N/A
,,"Re-creates different productions elements from other versions and performances of the songs off of 808's, most noteably VH1 Storytellers, his second live recording album. Some songs are quite similar to release, while other songs have more drastic changes that still remain faithful. Also features minor mixing differences. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,"Remix, the exception",,,,,,,,,,,,,,,,,,,
808s & Heartbreak,,808's & Heartbreak 2,,,,,,,,,,,,,,,,ImAliveNotDead,30 minutes. 10 tracks.,SAMPLY,N/A
,,"An original project inspired by 808's with all new instrumentals, tracks, and vocals using early ai masking over the creators own voice. Meant to serve as a sequel with the same core ideas, emotions, and sounds of Kanye's album.  - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Extension,,,,,,,,,,,,,,,,,,,
808s & Heartbreak,,Welcome to Heartbreak															,,,,,,,,,,,,,,,,BSB Dante,"1 hour, 11 minutes. 12 tracks.",SAMPLY,N/A
,,An extension of 808's with no additional tracks. Instrumentals are extended and scrapped/alt features are added back. - 100greenmen,,,,,,,,,,,,,,,,,,,
,,Renovation,,,,,,,,,,,,,,,,,,,
808s & Heartbreak,,Heartbreak (V2)															,,,,,,,,,,,,,,,,Jax,45 minutes. 11 tracks.,SAMPLY,2 Bonus tracks
,,"This comp adds new production of varying degrees alongside new skits baked into some of the tracks. The tracklist is cut down, and a few songs were delegated to bonus tracks. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Remix,,,,,,,,,,,,,,,,,,,
808s & Heartbreak,,Gambino made 808's & heartbreak,,,,,,,,,,,,,,,,Brandongotnogrip,42 minutes. 11 tracks.,,Multiple file formats.
,,"A mashup of various Childish Gambino tracks with 808's. features vocals from Childish Gambino and his collaborators, pulling from released and unreleased material. Some instrumentation is also brought over from his tracks as well, as well as adjusted mixing.  - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Remaster,,,,,,,,,,,,,,,,,,,
808s & Heartbreak,,808's & Heartbreak															,,,,,,,,,,,,,,,,Fosterlynch,52 minutes. 12 tracks.,SAMPLY,N/A
,,"808's & Heartbreak remastered for modern audio devices, with removed clipping. - 100greenmen															",,,,,,,,,,,,,,,,,,,
,,Renovation,,,,,,,,,,,,,,,,,,,
808s & Heartbreak,,808's & Heartbreak															,,,,,,,,,,,,,,,,Matsu,52 minutes. 12 tracks.,SAMPLY,N/A
,,"This comp features a re-done and reordered tracklisting, alongside some new interlude tracks. New production mostly with synths on every song, and some added features to a few tracks. Heartless and Pinnochio story have been combined into a single track. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Child Rebel Soldier,,,,,,,,,,,,,,,,,,,
,,"Initially formed in 2007, the rap group comprised of Lupe Fiasco, Kanye West, and Pharrell Williams produced it's first single; Us Placers in the same year. The song appeared on Kanye West's Can't Tell Me Nothing mix tape, and generated some excitement for the group's first album. Unfortunately due to busy schedules none of the artists were able to do much for it, and after putting it on hold for an extended period of time, it was unceremoniously cancelled in 2013. Comps for this era feature songs from all three artists, adding features from the other members and some frequent collaborators. A total of 3 songs were ever produced with all 3 members involvement, and a handful of unfinished scraps that have leaked from 2007 to 2010, with the name God Unwilling considered for a potential album release. Although Lupe Fiasco would use the name again for his own solo projects in 2024, this era is unrelated to his work past this time period. While not considered a real era, comps under this umbrella aim to create simulacrums of what a CRS album might have sounded like. Songs and sounds are varied borrowing from each artists production style, and encompasses concious hip-hop and energetic club bangers.",,,,,,,,,,,,,,,,,,,
,,Vanilla,,,,,,,,,,,,,,,,,,,
Child Rebel Soldier,,God Unwilling,,,,,,,,,,,,,,,,BSB Dante,"1 hour, 1 minute. 16 tracks.",SAMPLY,N/A
,,"Songs are taken from all three artists discography with features added from each other, and some rearranged song structure. A few iconic songs from the Good Ass Job era are featured here. The released CRS songs are unaltered rips. Supposedly one of the first fleshed out CRS comps.   - 100greenmen															",,,,,,,,,,,,,,,,,,,
,,Overhaul,,,,,,,,,,,,,,,,,,,
Child Rebel Soldier,,Child Rebel Soldier															,,,,,,,,,,,,,,,,Simplejosh,44 minutes. 11 tracks.,SAMPLY,"1 bonus track, alt cover."
,,"SimpleJosh reconstructs snippets, creates new instrumentals, adds verses, reworks beats and more to make a short but high-quality CRS comp. It not only edits the few released CRS songs, but also uses new samples and known snippets to make a full length comp out of the era while still remaining accurate - aiwei",,,,,,,,,,,,,,,,,,,
,,Vanilla,,,,,,,,,,,,,,,,,,,
Child Rebel Soldier,,Child Rebel Soldier                                                                                                                                                                                                                   ,,,,,,,,,,,,,,,,Reborn Sinner & Victor,58 minutes. 15 tracks.,SAMPLY,N/A
,,"This comp takes songs and verses up to 2013 from each artist and adds more features from each other. A few samples are extended, borrowed from other songs, or emphasized with slightly altered mixing on the released tracks. - 100greenmen															",,,,,,,,,,,,,,,,,,,
,,Vanilla,,,,,,,,,,,,,,,,,,,
Child Rebel Soldier,,God Unwilling (Unfinished),,,,,,,,,,,,,,,,Chicken Man & Cool_Gamez,44 minutes. 11 tracks.,SAMPLY,N/A
,,"This scrapped comp has the most unique tracklist of any CRS comp. Many are mashups in a similar vein with unfinished mixing, possible placeholder verses and production. Apparently started and abandoned in 2024, it wasn't found until Chicken Man released it in 2026 with no clear intent to finish it. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Good Ass Job,,,,,,,,,,,,,,,,,,,
,,"The most coveted, and infamous unreleased album from Kanye West. Previously said to have been the fourth of the college trilogy set to release after Graduation, it experienced it's first delay after Donda West's passing, and again after Kanye's interruption during Taylor Swift's 2009 VMA award acceptance speech. Production began after Graduation, and shifted focus with each delay. Avaliable leaks that aren't just beats feature more melodic singing and some experiments with the 808's synthesizer. A myriad of themes and sounds were covered albiet, many songs are noticeably unfinished missing verses, frequent use of kanye mumble, even songs that have yet to be heard. Many collaborators were brought on for features and production ideas before the project ultimately transitioned into My Beautiful Dark Twisted Fantasy in spring of 2010. Comps of this era may share some crossover with MBDTF as many songs would still be worked on during that period of time. More frequently GAJ is envisioned either before or after the VMA's incident with the former having a more narrow scope, and the latter combining unreleased tracks with earlier versions of released tracks.  There was also an album title ""Winter Spring Summer Fall"" which would feature songs for every season. Little is known of this particular album as the title would not be used long, some comps here attempt to re-create this idea using songs from this era.",,,,,,,,,,,,,,,,,,,
Era Sidenote,"To promote MBDTF's release, Kanye would release songs under the 'GOOD Fridays' moniker every Friday from 8/20/2010 to 12/15/2010. Although the album proper released on 11/22/2010. Some GOOD Fridays tracks have been used in GAJ comps due to their relative completion, as they had been worked on during the time the album was still considered Good Ass Job. A verse from Rhymefest's Raw Dawg mixtape was taken for an edit by Ivy & Casual, made into an intro skit, periodically included in these comps.",,,,,,,,,,,,,,,,,,,,
,,Renovation,,,,,,,,,,,,,,,,,,,
Good Ass Job,,g00d a$$ job,,,,,,,,,,,,,,,,IcyEdits,56 minutes. 13 tracks.,SAMPLY,"Multiple file formats, stems."
,,"A comp with a mix of reworked MBDTF songs and scraps as well as a handful of GAJ songs, reenvisioning the album as a synth-pop influenced experience. Icy's added production is impressive and unique, with its reimagining of songs being especially respectable. Although mixing is questionable at times, it definitely still stands out in its overall creativity and quality. - aiwei                                                                                                                        ",,,,,,,,,,,,,,,,,,,
,,"Vanilla, Playlist",,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Ass Job (V2)															,,,,,,,,,,,,,,,,Ivory,37 minutes. 12 tracks.,SAMPLY,6 outtakes.
,,"One of the first widespread and noteworthy GAJ comps attempting to overhaul the era. A mix of raw leaks and edited files with new samples and verses to fill empty space or replace mumble. Would also go on to inspire other influential and trivial comps. The outtakes are serviceable on their own, even if they are clearly undercooked. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Renovation,,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Ass Job															,,,,,,,,,,,,,,,,Santino,"1 hour, 16 minutes. 15 tracks.",SAMPLY,"Multiple alt covers, 12 bonus tracks."
,,"Santino's debut comp, and while they would become an extremely influential editor, its age shows in its mixing and audio quality. Despite that, the comp contains a multitude of very creative edits, with added verses, production and features rounding out its tracks. It paved the way for Santino's later work in the era, laying down the standard for Santino's reputation of unique tracklisting, serving as an introduction to Santino's later contributions to the GAJ era as a whole. - aiwei.  Also lowkey delete ALL of my edits yo that shit needs to stay gone. - Santino",,,,,,,,,,,,,,,,,,,
,,Vanilla,,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Ass Job															,,,,,,,,,,,,,,,,Akimbo,40 minutes. 12 tracks.,SAMPLY,N/A
,,"Akimbo's comp updates the mixing on the tracks for this comp while adding some additional prod to fit in with the electronic songs for the era. Some songs recieved more attention than others, minor trimming was also applied to songs shortening intros and outtros. Also includes added features, almost no mumble, and an emphasis on tracks with Kanye's singing. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Playlist,,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Ass Job															,,,,,,,,,,,,,,,,BSB Dante,51 minutes. 13 tracks.,SAMPLY,N/A
,,"This early comp mainly uses GOOD Friday tracks and GAJ leaks without mumble from the era, with some shortened songs serving as interludes, and a speech Kanye would give during a live performance titled ""Pinnochio story 2"". - 100greenmen															",,,,,,,,,,,,,,,,,,,
,,Vanilla,,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Ass Job Redux															,,,,,,,,,,,,,,,,Bendaboi,"1 hour, 14 minutes. 17 tracks.",SAMPLY,"A few .m4a's, alt cover, credits, compressed V1 copy."
,,"This comp focuses on re-arranging sections of songs, adding features, and in some cases mashing two versions of songs together. An interlude was cobbled together from Kanye's interruption at the VMA's and a news report about it, with the background chanting from Power. A  V1 of the comp  titled ""Album for Will"" is archived with the comp, it's mixed horribly, and uses bad extracts. I like to pretend it doesn't exist. - 100greenmen. I also like to pretend V1 doesn’t exist. - Bendaboi",,,,,,,,,,,,,,,,,,,
,,Overhaul,,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Ass Job															,,,,,,,,,,,,,,,,Ghostbuster2k,"1 hour, 14 minutes. 19 tracks.",SAMPLY,7 bonus tracks.
,,"Debut comp from Ghostbuster2k, he has re-arranged many samples, verses, and added his own production to many of the songs here. Mixing has been adjusted to make the songs sound more consistent, and contains some unique twists on skits. Sounds like a realistic release from Kanye from before the VMA's incident. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Vanilla,,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Ass Job (V2)															,,,,,,,,,,,,,,,,Graybones,49 minutes. 12 tracks.,SAMPLY,"Multiple file formats, instrumentals, bonus tracks."
,,"Graybones re-creates several instrumentals with pure electronic synths and adds some to the rest of the tracks. The vocal extracts are outdated, though they are still at a listenable quality. A few features are added and some verse re-arranging has been done. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Remix,,,,,,,,,,,,,,,,,,,
Good Ass Job,,Fame Kills															,,,,,,,,,,,,,,,,Victor,"38 minutes, 7 tracks.",SAMPLY,Two file formats.
,,"Based on the cancelled tour of the same name, a would be collaboration between Kanye West and Lady Gaga. Scrapped Lady Gaga songs from The Fame and GAJ are utilized. Gaga is added to Kanye's Tracks and vice verse, with the exception of the final track. Production in line with Gaga's electro-dance sound is added to the GAJ tracks, with some minor touch ups on The Fame tracks. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Renovation,,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Ass Job															,,,,,,,,,,,,,,,,Pastelle Collective,"1 hour 7 minutes, 15 tracks.",SAMPLY,"Art, bonus tracks, multiple file formats, credits."
,,"It is no exaggeration to call this the most famous and influential comp of Yedits history. Often considered definitive despite its age it was a landmark for its use of AI to reduce mumble the remade instrumentals among other prominent features. There are a littany of changes to go over, and they did everything possible to make a comp that sounds ""finished"" building on established conventions to give the songs within a unique identity. While some may consider it outdated by modern standards, its instrumentals and stems were used in other comps going forward, reinforcing the quality work done here. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Overhaul,,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Ass Job Dawgy Style															,,,,,,,,,,,,,,,,"Tyson, Onyx, & Co.","47 minutes, 13 tracks.",SAMPLY,"Art, bonus tracks, multiple file formats, credits."
,,"This comp has minimal overlap with its Pastelle produced inspiration, instead focusing on more obscure and less edited pre-VMA tracks, giving them previously never-before-seen overhauls. Each song has added production, verses, beatswitches, fleshed out textures, additional sections, and more changes which all contribute to edits that feel like brand-new songs when compared to their contemporaries. It also minimizes its use of Pastelle's GAJ and its edits of popular tracks maintain their personality, with their interpretations being unique amongst the sea of others, such as in the comp's Flashing Lights 2 or Throw Money Everywhere. - aiwei",,,,,,,,,,,,,,,,,,,
,,Vanilla,,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Ass Job															,,,,,,,,,,,,,,,,Biobthe1,"56 minutes, 13 tracks.",SAMPLY,"Multiple covers, 6 bonus tracks, 4 scraps."
,,"Biob's first pass at a GAJ comp; mostly re-arranging, mixing different song versions together, and adding minor production elements to mimic what a GAJ comp could have looked like in early 2010.  Existing samples for the project are also applied in a few spots, mixing has been altered to emphasize bass when it is present on a track. Sounds closer to an 'old-kanye' album and would fit in as a natural evolution of his style from 2007. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Overhaul,,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Ass Job,,,,,,,,,,,,,,,,Ali & Ahmed2.0,"33 minutes, 8 tracks.",SAMPLY,4 scraps.
,,"A release ready comp, lots of added production is applied to fill out the instrumentals and a tracklist with minimal mumble is utilized. New samples chops and features are also prevelant, making for an interpretation of the GAJ era that feels realistic to Kanye's production style from Graduation. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,"Vanilla, Remaster",,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Ass Job (V2)															,,,,,,,,,,,,,,,,Simplejosh,"59  minutes, 16 tracks.",SAMPLY,"Alt cover, and V1 included."
,,"Remastered tracks that have added production, albiet lightly applied. Verses are added from other songs but otherwise quite a bit of mumble is deliberately left on for those who prefer the way leaked tracks sound, alongside their GOOD Fridays counter parts. Many older versions of GAJ tracks are used for a stripped back feel. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,"Vanilla, Shitpost",,,,,,,,,,,,,,,,,,,
Good Ass Job,,Vision EP,,,,,,,,,,,,,,,,Simplejosh,"32 minutes, 8 tracks.",SAMPLY,N/A
,,"Released alongside Simplejosh's Good ass job (V2) comp, this era accurate shitpost pitch shifts the vocals and instrumentals selectively to make a more off-putting and painful listening experience.  - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Vanilla,,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Ass Job Reimagined,,,,,,,,,,,,,,,,Mochi&Broccoli,"1 hour, 17 minutes, 13 tracks.",SAMPLY,N/A
,,"Likely one of, if not the first, of Mochi&Broccoli's comps. Featured artists verses are swapped with other Kanye verses and some remastering is done, with varying results. Some unique mashups help the comp stand out from others, but otherwise it's very indicitave of comp creation from the early 2020's.  - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Renovation,,,,,,,,,,,,,,,,,,,
Good Ass Job,N/A,Good Ass Job															,,,,,,,,,,,,,,,,Sphere,"46 minutes, 13 tracks.",SAMPLY,Possibly missing a cover.
,,"High quality remade and touched up instrumentals focusing on live instruments with minimal retained synth production. Some samples are also used less frequently or removed altogether, and features are added to some songs. Feels intended to sound like what My Beautiful Dark Twisted Fantasy would on release. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,"Vanilla, Playlist",,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Ass Job															,,,,,,,,,,,,,,,,R1600,"44 minutes, 11 tracks.",SAMPLY,N/A
,,"A playlist from the early 2020's, made with a mix of edits and leaks, as well as R1600's custom edits. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Renovation,,,,,,,,,,,,,,,,,,,.
Good Ass Job,,Good Ass Job															,,,,,,,,,,,,,,,,JuyTuy,"55 minutes, 14 tracks.",SAMPLY,"1 bonus track, 3 scraps, art, and instrumentals"
,,"JuyTuy's first Gaj comp, many instrumentals have had a lot of small samples or new production at points to create a fuller sound for each song while remaining faithful. Also features an impressive ai de-mumble of the track See me again. Overall a realistic sound for a 2009 release of the album. - 100greenmen															",,,,,,,,,,,,,,,,,,,
,,"Vanilla, Playlist",,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Ass Job (V1)															,,,,,,,,,,,,,,,,Frickinfire,"1 hour, 58 minutes, 24 tracks.",SAMPLY,"5 bonus tracks, unknown credits."
,,"Frickinfire's first GAJ playlist, this one seperates the tracks into two discs. No particular theme or reason is discernable other than splitting the large tracklist down for easier listening. A good way to experience a near complete list of the most GAJ edits for earlier versions of songs when fewer leaks had been discovered, with some mumble. Also includes the track Kinda like a big deal from Clipse. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,"Vanilla, Playlist",,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Ass Job (V2)															,,,,,,,,,,,,,,,,Frickinfire,"1 hour, 10 minutes, 16 tracks.",SAMPLY,"5 bonus tracks, 1 alt track, unknown credits."
,,Frickinfire's second GAJ playlist reduced the overall tracklist. The same edits from the same tracks as the previous iteration remain. - 100greenmen,,,,,,,,,,,,,,,,,,,
,,"Vanilla, Playlist",,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Ass Job Rework                                                                                                                        ,,,,,,,,,,,,,,,,Simplejosh/Deka,"1 hour, 13 minutes, 15 tracks.",SAMPLY,"5 bonus tracks, 1 alt track, unknown credits."
,,"Based on Simplejosh's V2 comp, this re-structures songs and uses alternative edits likely sourced from /r/yedits to make a personalized version of the comp.  More of a novelty, but it does contain unique, uncredited edits. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,"Renovation, Vanilla, Playlist",,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Ass Job I - V															,,,,,,,,,,,,,,,,Sophie,"6 hours, 30 minutes, 90 tracks.",SAMPLY,N/A
,,"A series of playlists made with various edits and some custom edits from Sophie. As she described it herself ""I is pre-vmas, II is main post vmas, III is wssf made using og mbdtf stuff, IV is II deluxe aka extra tracks, V is an entirely alts and bonus versions of songs"" The gargantuan length is broken up into 5 parts and organized accordingly. Almost every song from the era known is covered up to Febuary 2026.   - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Vanilla,,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Ass Job (V1 + V2),,,,,,,,,,,,,,,,Matsu,"1 hour, 5/6 minutes, 15 tracks.",SAMPLY,N/A
,,"V1 of this comp has a selection of songs from the era with an added interlude, and Don't stop from CRS. Some tracks have added verses, mixing is inconsistent. V2 includes verses on a few songs that didn't have finished vocals, and an altered tracklist.  - 100greenmen															",,,,,,,,,,,,,,,,,,SAMPLY,
,,"Renovation, Playlist",,,,,,,,,,,,,,,,,,,
Good Ass Job,,Rosewood															,,,,,,,,,,,,,,,,Sophie,"1 hours, 15 minutes, 15 tracks.",SAMPLY,N/A
,,"Based on a tracklist by Big Brother for his alt-universe, the intent is to make a hypothetical album after Good Ass Job based on the early versions of MBDTF tracks and GOOD Fridays tracks. Minimalistic changes that overall alter the mood and atmosphere from the edits included. Production is consistently lo-fi for the edits chosen.   - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Overhaul,,,,,,,,,,,,,,,,,,,
Good Ass Job,,Madvillainz,,,,,,,,,,,,,,,,Berais,"29 minutes, 12 tracks.",SAMPLY,"1 alt cover, credits."
,,A hypothetical collaborative album between Kanye West and MF Doom using songs from around the time. Production is added matching MF Doom's usual sound and features are added from each artist to the others songs.  - 100greenmen,,,,,,,,,,,,,,,,,,,
,,Renovation,,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Foot Job + Director's Cut,,,,,,,,,,,,,,,,Simplejosh,"22 minutes, 11 tracks. 37 minutes, 15 tracks.",SAMPLY,"1 alt cover, credits."
,,"Simplejosh's more experimental take on the era. Includes some mashups and many alt verses/features for tracks, and some added production that stands out from his main comp. The directors cut adds more songs, noteably armed and dangerous. - 100greenmen",,,,,,,,,,,,,,,,,,SAMPLY,
,,Renovation,,,,,,,,,,,,,,,,,,,
Good Ass Job,,Glow in The Dark,,,,,,,,,,,,,,,,Ace & co.,"36 minutes, 11 tracks.",SAMPLY,N/A
,,"A short GAJ era rework comp that focuses on the more pop-rap side of the era and the upbeat and unheard side of 808s, while reworking the songs with added synth production. - Ace",,,,,,,,,,,,,,,,,,,
,,Renovation,,,,,,,,,,,,,,,,,,,
Good Ass Job,,Gap Year,,,,,,,,,,,,,,,,JuyTuy,"22 minutes, 11 tracks. 37 minutes, 15 tracks.",SAMPLY,"Multiple alt covers, multiple file formats."
,,"JuyTuy's second GAJ comp. It pulls from a handful of songs from the era by Kanye's frequent collaborators including Drake's show me a good time, a song rumored to have been worked on by Kanye. Added synths, drum beats, and verses have helped make it a realistic ep length project. Also features passenger/buildings from the Graduation era split into two songs. - 100greenmen															",,,,,,,,,,,,,,,,,,,
,,Vanilla,,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Ass Job 4/19/10															,,,,,,,,,,,,,,,,Biobthe1 & co.,"46 minutes, 15 tracks.",SAMPLY,"2 Alt covers, 6 alt tracks, 6 bonus tracks."
,,"Biob's second GAJ comp, this time based on a beat-tape that leaked with the title ""Good Ass Job beats for Kanye"". Verses and features are added to the few beats with no known vocals recorded and other songs with less on them. Some added samples and production are present, as a form of polish. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Renovation,,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Ass Job,,,,,,,,,,,,,,,,SarahWiwi & Jozzuh,"16 minutes, 5 tracks.",SAMPLY,Multiple file formats.
,,"New beat chops, samples, punch-ins, and remade beats for each track with no mumble. This comp was made for the 2026 Yedits one-week-comp contest, the ep length tracklist uses some popular GAJ songs and gives them a level of production to where these could be considered release-ready. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Vanilla,,,,,,,,,,,,,,,,,,,
Good Ass Job,Chloeblossom💀 - aiwei       ,Good Ass Job,,,,,,,,,,,,,,,,Chloeblossom,"1 hour, 23 minutes, 17 tracks.",SAMPLY,Changelogs.
,,"Uses early versions of songs with tracks that would be worked on late into the era, and GOOD Fridays tracks. Features and synths are added with updated mixing to maintain consistency. - 100greenmen                                                                                                                 ",,,,,,,,,,,,,,,,,,,
,,"Remaster, Playlist",,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Ass Job															,,,,,,,,,,,,,,,,Guywx,"1 hour, 40 minutes, 19 tracks.",SAMPLY,3 Alt covers.
,,A playlist pulling from various editors and including a few leaks. Demumbles and upscaled tracks make for a higher quality and more consistent listening experience. The main cover is an ai upscale of an existing cover usually used for the era. - 100greenmen,,,,,,,,,,,,,,,,,,,
,,Overhaul,,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Ass Job															,,,,,,,,,,,,,,,,irawlofi,"52 minutes, 14 tracks.",SAMPLY,N/A
,,"An early example of a comp trying to make an alternative take on the era from 2022/2023. Combining different song versions, with some minor production elements and verses/features shifted around or added in addition to a few songs from the 808's & HB era. Somewhat outdated mixing and quite a bit of mumble left in. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Renovation,,,,,,,,,,,,,,,,,,,
Good Ass Job,,Good Ass Job,,,,,,,,,,,,,,,,Jeen,"47 minutes, 14 tracks.",SAMPLY,"Back cover, credits, LP file."
,,A combination of re-created beats and vanilla style touch ups make up an alternative take on the era that still feels familiar. A few songs from previous eras are present and made to fit in quite well. Added features and verses also help fill in otherwise empty or repetitive tracks. - 100greenmen,,,,,,,,,,,,,,,,,,,
,,Vanilla,,,,,,,,,,,,,,,,,,,
Good Ass Job,,Winter Spring Summer Fall															,,,,,,,,,,,,,,,,alstr,"48 minutes, 12 tracks.",SAMPLY,3 Alt covers.
,,"A comp that borrows songs of the era from some of Kanye's frequent collaborators. New mixing emphasizing bass and added synth production make for a basic comp, letting the track order fill out the vague theme of the comps namesake. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Overhaul,,,,,,,,,,,,,,,,,,,
Good Ass Job,,The 4 Seasons: W.S.S.F.,,,,,,,,,,,,,,,,Santino,"53 minutes, 12 tracks.",SAMPLY,"Alt cover, 2 bonus tracks."
,,"Intended as a B-Side to Santino's first GAJ comp. Having been produced some time after, his edits on WSSF are more polished and high quality. It has a very unique song selection, editing some relatively obscure and some non-Kanye songs. It reworks these songs with a massive amount of added features and nice production changes to make each track feel fresh. - aiwei",,,,,,,,,,,,,,,,,,,
